testnum, # of TTToSemiLep Events, # of Bprime 1.0 Events, # of Bprime 1.8 Events, #of WJets events, # of TTToSemiLep testing events, # of Bprime1.0 testing events, # of Bprime 1.8 testing events, # of WJets Testing Events, Training ttbar, Training Bprime 1.0, Training Bprime 1.8, Training WJets, Testing ttbar, Testing Bprime 1.0, Testing Bprime1.8, Testing WJets, Testing Score (Accuracy), Precision, Recall, F-Score
1, 29463, 45347, 75577, 50735, 17000, 17000, 17000, 47060, 29463, 45347, 75577, 50735, 17000, 17000, 17000, 47060, 0.811485319516, 0.820589679284, 0.811485319516, 0.814759836976
 
2, 29463, 45347, 75577, 50735, 17000, 17000, 17000, 47060, 29463, 45347, 75577, 50735, 17000, 17000, 17000, 47060, 0.803688625709, 0.819182640791, 0.803688625709, 0.808709100502

3, 29463, 45347, 75577, 50735, 17000, 17000, 17000, 47060, 29463, 45347, 75577, 50735, 17000, 17000, 17000, 47060, 0.812348877375, 0.823310484086, 0.812348877375, 0.816081472717

5, 29463, 45347, 75577, 50735, 17000, 17000, 17000, 47060, 29463, 45347, 75577, 50735, 17000, 17000, 17000, 47060, 0.804934616334, 0.825627737096, 0.804934616334, 0.811246305103

6, 29463, 45347, 75577, 50735, 17000, 17000, 17000, 47060, 29463, 45347, 75577, 50735, 17000, 17000, 17000, 47060, 0.803565260301, 0.822532008855, 0.803565260301, 0.809458892489

4, 29463, 45347, 75577, 50735, 17000, 17000, 17000, 47060, 29463, 45347, 75577, 50735, 17000, 17000, 17000, 47060, 0.811065877128, 0.828257096029, 0.811065877128, 0.816319066481

7, 29463, 45347, 75577, 50735, 17000, 17000, 17000, 47060, 29463, 45347, 75577, 50735, 17000, 17000, 17000, 47060, 0.821255859857, 0.830419473367, 0.821255859857, 0.824672477802

8, 29463, 45347, 75577, 50735, 17000, 17000, 17000, 47060, 29463, 45347, 75577, 50735, 17000, 17000, 17000, 47060, 0.799321490254, 0.816535007559, 0.799321490254, 0.804778506505

9, 29463, 45347, 75577, 50735, 17000, 17000, 17000, 47060, 29463, 45347, 75577, 50735, 17000, 17000, 17000, 47060, 0.80710584752, 0.821425029934, 0.80710584752, 0.811680196311

10, 29463, 45347, 75577, 50735, 17000, 17000, 17000, 47060, 29463, 45347, 75577, 50735, 17000, 17000, 17000, 47060, 0.793387614113, 0.826134412926, 0.793387614113, 0.80199812595

11, 29463, 45347, 75577, 50735, 17000, 17000, 17000, 47060, 29463, 45347, 75577, 50735, 17000, 17000, 17000, 47060, 0.805810510733, 0.82561548289, 0.805810510733, 0.811686794148

12, 29463, 45347, 75577, 50735, 17000, 17000, 17000, 47060, 29463, 45347, 75577, 50735, 17000, 17000, 17000, 47060, 0.799062422897, 0.82263429772, 0.799062422897, 0.805843394103

13, 29463, 45347, 75577, 50735, 17000, 17000, 17000, 47060, 29463, 45347, 75577, 50735, 17000, 17000, 17000, 47060, 0.810782136689, 0.826034814319, 0.810782136689, 0.816084433571

14, 29463, 45347, 75577, 50735, 17000, 17000, 17000, 47060, 29463, 45347, 75577, 50735, 17000, 17000, 17000, 47060, 0.808536886257, 0.823749477207, 0.808536886257, 0.813477432909

16, 29463, 45347, 75577, 50735, 17000, 17000, 17000, 47060, 29463, 45347, 75577, 50735, 17000, 17000, 17000, 47060, 0.807167530225, 0.825610322206, 0.807167530225, 0.812820128741

15, 29463, 45347, 75577, 50735, 17000, 17000, 17000, 47060, 29463, 45347, 75577, 50735, 17000, 17000, 17000, 47060, 0.808117443869, 0.826097679821, 0.808117443869, 0.813527427137

17, 29463, 45347, 75577, 50735, 17000, 17000, 17000, 47060, 29463, 45347, 75577, 50735, 17000, 17000, 17000, 47060, 0.796138662719, 0.823267689519, 0.796138662719, 0.803636388401

18, 29463, 45347, 75577, 50735, 17000, 17000, 17000, 47060, 29463, 45347, 75577, 50735, 17000, 17000, 17000, 47060, 0.80872193437, 0.825682777501, 0.80872193437, 0.814319980289

19, 29463, 45347, 75577, 50735, 17000, 17000, 17000, 47060, 29463, 45347, 75577, 50735, 17000, 17000, 17000, 47060, 0.80606957809, 0.816127143625, 0.80606957809, 0.80980427539

20, 29463, 45347, 75577, 50735, 17000, 17000, 17000, 47060, 29463, 45347, 75577, 50735, 17000, 17000, 17000, 47060, 0.81227485813, 0.826050946008, 0.81227485813, 0.816362627632

22, 29463, 45347, 75577, 50735, 17000, 17000, 17000, 47060, 29463, 45347, 75577, 50735, 17000, 17000, 17000, 47060, 0.797582037997, 0.828045857833, 0.797582037997, 0.806150165864

21, 29463, 45347, 75577, 50735, 17000, 17000, 17000, 47060, 29463, 45347, 75577, 50735, 17000, 17000, 17000, 47060, 0.807759684185, 0.827052541365, 0.807759684185, 0.813497222029

23, 29463, 45347, 75577, 50735, 17000, 17000, 17000, 47060, 29463, 45347, 75577, 50735, 17000, 17000, 17000, 47060, 0.806340981989, 0.823041903338, 0.806340981989, 0.811548729336

24, 29463, 45347, 75577, 50735, 17000, 17000, 17000, 47060, 29463, 45347, 75577, 50735, 17000, 17000, 17000, 47060, 0.796459412781, 0.821974022727, 0.796459412781, 0.803694305615

25, 30463, 46347, 76577, 50735, 16000, 16000, 16000, 47060, 30463, 46347, 76577, 50735, 16000, 16000, 16000, 47060, 0.800417404503, 0.824185535294, 0.800417404503, 0.808144826435

26, 30463, 46347, 76577, 50735, 16000, 16000, 16000, 47060, 30463, 46347, 76577, 50735, 16000, 16000, 16000, 47060, 0.808474576271, 0.82635883219, 0.808474576271, 0.814146521637

28, 30463, 46347, 76577, 50735, 16000, 16000, 16000, 47060, 30463, 46347, 76577, 50735, 16000, 16000, 16000, 47060, 0.803528965343, 0.830893428729, 0.803528965343, 0.811430470761

27, 30463, 46347, 76577, 50735, 16000, 16000, 16000, 47060, 30463, 46347, 76577, 50735, 16000, 16000, 16000, 47060, 0.806893498609, 0.829539967351, 0.806893498609, 0.813626895419

29, 30463, 46347, 76577, 50735, 16000, 16000, 16000, 47060, 30463, 46347, 76577, 50735, 16000, 16000, 16000, 47060, 0.802833291171, 0.826567305167, 0.802833291171, 0.810018846999

30, 30463, 46347, 76577, 50735, 16000, 16000, 16000, 47060, 30463, 46347, 76577, 50735, 16000, 16000, 16000, 47060, 0.808057171768, 0.828520571565, 0.808057171768, 0.814442980392

31, 28463, 44347, 74577, 50735, 18000, 18000, 18000, 47060, 28463, 44347, 74577, 50735, 18000, 18000, 18000, 47060, 0.802612569227, 0.816749023225, 0.802612569227, 0.807624416109

32, 28463, 44347, 74577, 50735, 18000, 18000, 18000, 47060, 28463, 44347, 74577, 50735, 18000, 18000, 18000, 47060, 0.804599084999, 0.819396910555, 0.804599084999, 0.809416362449

34, 28463, 44347, 74577, 50735, 18000, 18000, 18000, 47060, 28463, 44347, 74577, 50735, 18000, 18000, 18000, 47060, 0.798940524922, 0.818437609669, 0.798940524922, 0.804679398904

33, 28463, 44347, 74577, 50735, 18000, 18000, 18000, 47060, 28463, 44347, 74577, 50735, 18000, 18000, 18000, 47060, 0.802456055863, 0.818588794054, 0.802456055863, 0.807247339725

35, 28463, 44347, 74577, 50735, 18000, 18000, 18000, 47060, 28463, 44347, 74577, 50735, 18000, 18000, 18000, 47060, 0.796327955695, 0.821684595767, 0.796327955695, 0.803470205034

36, 28463, 44347, 74577, 50735, 18000, 18000, 18000, 47060, 28463, 44347, 74577, 50735, 18000, 18000, 18000, 47060, 0.807596917891, 0.821885559004, 0.807596917891, 0.811380240113

39, 29463, 45347, 75577, 50735, 17000, 17000, 17000, 47060, 29463, 45347, 75577, 50735, 17000, 17000, 17000, 47060, 0.808610905502, 0.82000039184, 0.808610905502, 0.812685114684

38, 29463, 45347, 75577, 50735, 17000, 17000, 17000, 47060, 29463, 45347, 75577, 50735, 17000, 17000, 17000, 47060, 0.802751048606, 0.818877365771, 0.802751048606, 0.808113112477

42, 29463, 45347, 75577, 50735, 17000, 17000, 17000, 47060, 29463, 45347, 75577, 50735, 17000, 17000, 17000, 47060, 0.80518134715, 0.821280906946, 0.80518134715, 0.810597444573

37, 29463, 45347, 75577, 50735, 17000, 17000, 17000, 47060, 29463, 45347, 75577, 50735, 17000, 17000, 17000, 47060, 0.806143597335, 0.822583210216, 0.806143597335, 0.811693156979

41, 29463, 45347, 75577, 50735, 17000, 17000, 17000, 47060, 29463, 45347, 75577, 50735, 17000, 17000, 17000, 47060, 0.817641253393, 0.826232462613, 0.817641253393, 0.82078450948

40, 29463, 45347, 75577, 50735, 17000, 17000, 17000, 47060, 29463, 45347, 75577, 50735, 17000, 17000, 17000, 47060, 0.822797927461, 0.83153874751, 0.822797927461, 0.825988831903

44, 26463, 42347, 72577, 50735, 20000, 20000, 20000, 47060, 26463, 42347, 72577, 50735, 20000, 20000, 20000, 47060, 0.80644383184, 0.81218505889, 0.80644383184, 0.808342711158

43, 26463, 42347, 72577, 50735, 20000, 20000, 20000, 47060, 26463, 42347, 72577, 50735, 20000, 20000, 20000, 47060, 0.808476912474, 0.809266533358, 0.808476912474, 0.808223808587


49, 29463, 45347, 75577, 50735, 17000, 17000, 17000, 47060, 29463, 45347, 75577, 50735, 17000, 17000, 17000, 47060, 0.815075252899, 0.82302499589, 0.815075252899, 0.817942850119

51, 29463, 45347, 75577, 50735, 17000, 17000, 17000, 47060, 29463, 45347, 75577, 50735, 17000, 17000, 17000, 47060, 0.819170984456, 0.827005847049, 0.819170984456, 0.822299014648

52, 29463, 45347, 75577, 50735, 17000, 17000, 17000, 47060, 29463, 45347, 75577, 50735, 17000, 17000, 17000, 47060, 0.813249444856, 0.820275422532, 0.813249444856, 0.815772159749

47, 26463, 42347, 72577, 50735, 20000, 20000, 20000, 47060, 26463, 42347, 72577, 50735, 20000, 20000, 20000, 47060, 0.805191821732, 0.808844667266, 0.805191821732, 0.806453774937

46, 26463, 42347, 72577, 50735, 20000, 20000, 20000, 47060, 26463, 42347, 72577, 50735, 20000, 20000, 20000, 47060, 0.805019526763, 0.808830141551, 0.805019526763, 0.806107145848

50, 29463, 45347, 75577, 50735, 17000, 17000, 17000, 47060, 29463, 45347, 75577, 50735, 17000, 17000, 17000, 47060, 0.817209474463, 0.823714593096, 0.817209474463, 0.819621818795

48, 26463, 42347, 72577, 50735, 20000, 20000, 20000, 47060, 26463, 42347, 72577, 50735, 20000, 20000, 20000, 47060, 0.811911325523, 0.813800344842, 0.811911325523, 0.812260785654

45, 26463, 42347, 72577, 50735, 20000, 20000, 20000, 47060, 26463, 42347, 72577, 50735, 20000, 20000, 20000, 47060, 0.814070755801, 0.815325104564, 0.814070755801, 0.814356674341

53, 29463, 45347, 75577, 50735, 17000, 17000, 17000, 47060, 29463, 45347, 75577, 50735, 17000, 17000, 17000, 47060, 0.804132741179, 0.818368170475, 0.804132741179, 0.809056548559

55, 29463, 45347, 75577, 50735, 17000, 17000, 17000, 47060, 29463, 45347, 75577, 50735, 17000, 17000, 17000, 47060, 0.817357512953, 0.825974265442, 0.817357512953, 0.820535227437

54, 29463, 45347, 75577, 50735, 17000, 17000, 17000, 47060, 29463, 45347, 75577, 50735, 17000, 17000, 17000, 47060, 0.820182580804, 0.827345050525, 0.820182580804, 0.822923709974

56, 29463, 45347, 75577, 50735, 17000, 17000, 17000, 47060, 29463, 45347, 75577, 50735, 17000, 17000, 17000, 47060, 0.820034542314, 0.827507245981, 0.820034542314, 0.822930589992
