
testnum, # of TTToSemiLep Events, # of Tprime 1.0 Events, # of Tprime 1.0 Events, #of WJets events, # of TTToSemiLep testing events, # of Tprime1.0 testing events, # of Tprime 1.8 testing events, # of WJets Testing Events, Training ttbar, Training Tprime 1.0, Training Tprime 1.8, Training WJets, Testing ttbar, Testing Tprime 1.0, Testing Tprime1.8, Testing WJets, Testing Score (Accuracy), Precision, Recall, F-Score
1, 42989, 66279, 107192, 62888, 17000, 17000, 17000, 47060, 42989, 60000, 60000, 60000, 17000, 17000, 17000, 47060, 0.840352825068, 0.839861384543, 0.840352825068, 0.837812319827

7, 42989, 66279, 107192, 62888, 17000, 17000, 17000, 47060, 42989, 60000, 60000, 60000, 17000, 17000, 17000, 47060, 0.835245497163, 0.837396638603, 0.835245497163, 0.833882850208

3, 42989, 66279, 107192, 62888, 17000, 17000, 17000, 47060, 42989, 60000, 60000, 60000, 17000, 17000, 17000, 47060, 0.840402171231, 0.84057901815, 0.840402171231, 0.838525360011

6, 42989, 66279, 107192, 62888, 17000, 17000, 17000, 47060, 42989, 60000, 60000, 60000, 17000, 17000, 17000, 47060, 0.838058228473, 0.835650558985, 0.838058228473, 0.834159041088

4, 42989, 66279, 107192, 62888, 17000, 17000, 17000, 47060, 42989, 60000, 60000, 60000, 17000, 17000, 17000, 47060, 0.837836170738, 0.837810483681, 0.837836170738, 0.83590506767

5, 42989, 66279, 107192, 62888, 17000, 17000, 17000, 47060, 42989, 60000, 60000, 60000, 17000, 17000, 17000, 47060, 0.837527757217, 0.83577805643, 0.837527757217, 0.834198390714

2, 42989, 66279, 107192, 62888, 17000, 17000, 17000, 47060, 42989, 60000, 60000, 60000, 17000, 17000, 17000, 47060, 0.838514680484, 0.838776849435, 0.838514680484, 0.836357855432

8, 42989, 66279, 107192, 62888, 17000, 17000, 17000, 47060, 42989, 60000, 60000, 60000, 17000, 17000, 17000, 47060, 0.835738958796, 0.833269335777, 0.835738958796, 0.832073626398

9, 39989, 63279, 104192, 62888, 20000, 20000, 20000, 47060, 39989, 63279, 65000, 62888, 20000, 20000, 20000, 47060, 0.815161957271, 0.811249010904, 0.815161957271, 0.809113266346

12, 39989, 63279, 104192, 62888, 20000, 20000, 20000, 47060, 39989, 63279, 65000, 62888, 20000, 20000, 20000, 47060, 0.817711922812, 0.815742465682, 0.817711922812, 0.813177549638

21, 44989, 68279, 109192, 62888, 15000, 15000, 15000, 47060, 44989, 63000, 63000, 62888, 15000, 15000, 15000, 47060, 0.824448481703, 0.837841578502, 0.824448481703, 0.826844893811

13, 39989, 63279, 104192, 62888, 20000, 20000, 20000, 47060, 39989, 63279, 65000, 62888, 20000, 20000, 20000, 47060, 0.837893406846, 0.832403204538, 0.837893406846, 0.830686052222

17, 44989, 68279, 109192, 62888, 15000, 15000, 15000, 47060, 44989, 63000, 63000, 62888, 15000, 15000, 15000, 47060, 0.836036854399, 0.846588952295, 0.836036854399, 0.838053772825

14, 39989, 63279, 104192, 62888, 20000, 20000, 20000, 47060, 39989, 63279, 65000, 62888, 20000, 20000, 20000, 47060, 0.82940500804, 0.825047871033, 0.82940500804, 0.821704645248

10, 39989, 63279, 104192, 62888, 20000, 20000, 20000, 47060, 39989, 63279, 65000, 62888, 20000, 20000, 20000, 47060, 0.835825867218, 0.831036001212, 0.835825867218, 0.828272529863

20, 44989, 68279, 109192, 62888, 15000, 15000, 15000, 47060, 44989, 63000, 63000, 62888, 15000, 15000, 15000, 47060, 0.818946275629, 0.834882131765, 0.818946275629, 0.822479886484

